tiempo = 0  ;  avaliable es 16095

tiempo = 0.0s  tamano descargado = 1.0KB  tama;o del buffer  1.0KB 
tiempo = 0.0s  tamano descargado = 2.0KB  tama;o del buffer  1.0KB 
tiempo = 0.0s  tamano descargado = 3.0KB  tama;o del buffer  1.0KB 
tiempo = 0.0s  tamano descargado = 4.0KB  tama;o del buffer  1.0KB 
tiempo = 0.0s  tamano descargado = 5.0KB  tama;o del buffer  1.0KB 
tiempo = 0.0s  tamano descargado = 6.0KB  tama;o del buffer  1.0KB 
tiempo = 0.0s  tamano descargado = 7.0KB  tama;o del buffer  1.0KB 
tiempo = 0.0s  tamano descargado = 8.0KB  tama;o del buffer  1.0KB 
tiempo = 0.0s  tamano descargado = 9.0KB  tama;o del buffer  1.0KB 
tiempo = 0.0s  tamano descargado = 10.0KB  tama;o del buffer  1.0KB 
tiempo = 0.0s  tamano descargado = 11.0KB  tama;o del buffer  1.0KB 
tiempo = 0.0s  tamano descargado = 12.0KB  tama;o del buffer  1.0KB 
tiempo = 0.0s  tamano descargado = 13.0KB  tama;o del buffer  1.0KB 
tiempo = 0.0s  tamano descargado = 14.0KB  tama;o del buffer  1.0KB 
tiempo = 0.0s  tamano descargado = 15.0KB  tama;o del buffer  1.0KB 
tiempo = 0.0s  tamano descargado = 15.717773KB  tama;o del buffer  0.71777344KB 
tiempo = 0.032s  tamano descargado = 16.717773KB  tama;o del buffer  1.0KB 
tiempo = 0.032s  tamano descargado = 17.717773KB  tama;o del buffer  1.0KB 
tiempo = 0.032s  tamano descargado = 18.717773KB  tama;o del buffer  1.0KB 
tiempo = 0.032s  tamano descargado = 19.717773KB  tama;o del buffer  1.0KB 
tiempo = 0.033s  tamano descargado = 20.717773KB  tama;o del buffer  1.0KB 
tiempo = 0.033s  tamano descargado = 21.717773KB  tama;o del buffer  1.0KB 
tiempo = 0.033s  tamano descargado = 22.717773KB  tama;o del buffer  1.0KB 
tiempo = 0.033s  tamano descargado = 23.717773KB  tama;o del buffer  1.0KB 
tiempo = 0.033s  tamano descargado = 24.717773KB  tama;o del buffer  1.0KB 
tiempo = 0.033s  tamano descargado = 25.717773KB  tama;o del buffer  1.0KB 
tiempo = 0.033s  tamano descargado = 26.717773KB  tama;o del buffer  1.0KB 
tiempo = 0.033s  tamano descargado = 27.717773KB  tama;o del buffer  1.0KB 
tiempo = 0.033s  tamano descargado = 28.717773KB  tama;o del buffer  1.0KB 
tiempo = 0.033s  tamano descargado = 29.717773KB  tama;o del buffer  1.0KB 
tiempo = 0.033s  tamano descargado = 30.717773KB  tama;o del buffer  1.0KB 
tiempo = 0.033s  tamano descargado = 31.717773KB  tama;o del buffer  1.0KB 
tiempo = 0.237s  tamano descargado = 32.717773KB  tama;o del buffer  1.0KB 
tiempo = 0.237s  tamano descargado = 33.717773KB  tama;o del buffer  1.0KB 
tiempo = 0.237s  tamano descargado = 34.717773KB  tama;o del buffer  1.0KB 
tiempo = 0.237s  tamano descargado = 35.717773KB  tama;o del buffer  1.0KB 
tiempo = 0.237s  tamano descargado = 36.717773KB  tama;o del buffer  1.0KB 
tiempo = 0.237s  tamano descargado = 37.717773KB  tama;o del buffer  1.0KB 
tiempo = 0.237s  tamano descargado = 38.717773KB  tama;o del buffer  1.0KB 
tiempo = 0.237s  tamano descargado = 39.717773KB  tama;o del buffer  1.0KB 
tiempo = 0.237s  tamano descargado = 40.717773KB  tama;o del buffer  1.0KB 
tiempo = 0.237s  tamano descargado = 41.717773KB  tama;o del buffer  1.0KB 
tiempo = 0.237s  tamano descargado = 42.717773KB  tama;o del buffer  1.0KB 
tiempo = 0.237s  tamano descargado = 43.717773KB  tama;o del buffer  1.0KB 
tiempo = 0.237s  tamano descargado = 44.717773KB  tama;o del buffer  1.0KB 
tiempo = 0.237s  tamano descargado = 45.717773KB  tama;o del buffer  1.0KB 
tiempo = 0.237s  tamano descargado = 46.717773KB  tama;o del buffer  1.0KB 
